Part Number,Vendor,Vendor P/N,Package,Quantity On Hand,Price Each (qty 25),Description,Symbol Name,Symbol Library,Footprint Library,Family,Comments,Alternate vendor,Alternate P/N,Alternate Vendor,Alternate P/N,Datasheet
A-1000-0,TI,LM317T/NOPB,TO-220,15,$1.50,"IC, Variable positive regulator",LM317T/NOPB,asp_regulator,asp_ic,,,,,,,
A-1000-1,TI,LM317EMP/NOPB,SOT-223,19,$1.29,"IC, Variable positive regulator",,asp_regulator,asp_ic,,,,,,,
A-1001-0,TI,LM337T/NOPB,TO-220,0,$1.69,"IC, Variable negative regulator",,asp_regulator,asp_ic,,,,,,,
A-1001-1,TI,LM337IMP/NOPB,SOT-223,7,$1.69,"IC, Variable negative regulator",,asp_regulator,asp_ic,,,,,,,
A-1002-0,THAT,1280S14-U,SOIC-14_3.9x8.7mm_Pitch1.27mm,19,$3.12,"IC, Dual balanced line receiver, 0 dB",,asp_analog,asp_ic,,,TI,INA2134UA,,,
A-1003-0,THAT,1283S14-U,SOIC-14_3.9x8.7mm_Pitch1.27mm,,$3.12,"IC, Dual balanced line receiver, -3 dB",,asp_analog,asp_ic,,,,,,,
A-1004-0,THAT,1286S14-U,SOIC-14_3.9x8.7mm_Pitch1.27mm,3,$3.12,"IC, Dual balanced line receiver, -6 dB",,asp_analog,asp_ic,,,TI,IN2137UA,,,
A-1005-0,Analog Devices,OP275GSZ,SOIC-8_3.9x4.9mm_P1.27mm,6,$2.25,"IC, dual op-amp",,asp_analog,asp_ic,,,,,,,
A-1006-0,THAT,1646S08-U,SOIC-8_3.9x4.9mm_P1.27mm,26,$3.72,"IC, balanced line driver",,asp_analog,asp_ic,,,,,,,
A-1007-0,TI,DRV135UA,SOIC-8_3.9x4.9mm_P1.27mm,,$4.23,"IC, balanced line driver",,asp_analog,asp_ic,,,,,,,
A-1008-0,TI,DRV134UA,SO-16W,10,$4.24,"IC, balanced line driver",,asp_analog,asp_ic,,,THAT,1646W16-U,,,
A-1009-0,NXP,PCA9555D,SOIC-24W_7.5x15.4mm_Pitch1.27mm,39,$2.36,"IC, I2C 16-bit expander",,asp_digital,asp_ic,,,,,,,
A-1009-1,NXP,PCA9555DB,SSOP-24_5.3x8.2mm_P0.65mm,32,$1.78,"IC, I2C 16-bit expander",,asp_digital,asp_ic,,,,,,,
A-1010-0,Silicon Labs,C8051F374-A-GM,QFN-24,,$2.87,"IC, 8051 Micro",,asp_digital,asp_ic,,,,,,,
A-1011-0,TI,TL074CD,SO-14,,$0.46,"IC, quad JFET input op-amp",,asp_analog,asp_ic,,,,,,,
A-1012-0,TI,PGA2320IDWG4,SO-16W,8,$12.28,"IC, dual volume control",,asp_analog,asp_ic,,,,,Newark,,
A-1013-0,TI,TLC59116IPWR,TSSOP-28,3,$2.53,"IC, TLC59116IPWR 16-channel I2C LED driver",,asp_digital,asp_ic,,,,,,,
A-1014-0,Analog Devices,AD5293,TSSOP-14,,$3.87,"IC, digital pot 20k 1024 taps 1% SPI",,asp_analog,asp_ic,,,,,,,
A-1015-0,Silicon Labs,SiM3C167-B-GQ,TQFP-80,,$8.22,"IC, ARM M3 micro, 256 kB flash 32 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1015-1,Silicon Labs,SiM3C157-B-GQ,TQFP-80,,$7.18,"IC, ARM M3 micro, 128 kB flash 32 kB RAM ",,asp_digital,asp_ic,,,,,,,
A-1016-0,Intersil,DG409DYZ,SO-16,,$1.90,"IC, dual 4:1 analog mux, +34V",,asp_analog,asp_ic,,,,,,,
A-1017-0,Analog Devices,ADG441BRZ,SO-16,,$1.50,"IC, quad SPST analog switch, +44V",,asp_analog,asp_ic,,,,,,,
A-1018-0,Silicon Labs,SiM3C136-B-GQ,TQFP-64,,$4.26,"IC, ARM M3 micro, 32 kB flash 8 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1018-1,Silicon Labs,SiM3C146-B-GQ,TQFP-64,,$5.87,"IC, ARM M3 micro, 64 kB flash 16 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1018-2,Silicon Labs,SiM3C156-B-GQ,TQFP-64,,$5.68,"IC, ARM M3 micro, 128 kB flash 32 kB RAM ",,asp_digital,asp_ic,,,,,,,
A-1018-3,Silicon Labs,SiM3C166-B-GQ,TQFP-64,,$6.53,"IC, ARM M3 micro, 256 kB flash 64 kB RAM ",,asp_digital,asp_ic,,,,,,,
A-1019-0,Vishay,TSOP34838,IRRX-OGV,,$1.00,"IC, IR Receiver, 38 kHz 2.7V-5.0V, 1=Out, 2=GND,3=VS",,asp_digital,asp_ic,,This is one pinout variant,,,,,
A-1020-0,Analog Devices,ADG1439BRUZ,TSSOP-20,,$4.50,"IC, dual 4:1 analog mux, +34V, SPI interface",,asp_analog,asp_ic,,,,,,,
A-1021-0,TI,OPA2365AIDG4,SOIC-8_3.9x4.9mm_P1.27mm,,$2.07,"IC, dual rail-to-rail op-amp, +5.5V max VCC",,asp_analog,asp_ic,,,,,,,
A-1022-0,TI,LM2675M-3.3/NOPB,SOIC-8_3.9x4.9mm_P1.27mm,5,$2.88,"IC, LM2675-3.3 3.3V 1A step-down switchmode regulator",,asp_regulator,asp_ic,,,,,,,
A-1023-0,TI,TPA6120A2DWP,SO-20-W-PAD,,$3.50,"IC, dual headphone driver",,asp_analog,asp_ic,,,,,,,
